,label
0,benign
1,malicious
2,benign
3,malicious
4,benign
5,malicious
6,malicious
7,benign
8,malicious
9,benign
10,benign
11,malicious
12,benign
13,benign
14,benign
15,malicious
16,benign
17,benign
18,benign
19,benign
20,malicious
21,benign
22,benign
23,malicious
24,benign
25,benign
26,benign
27,benign
28,benign
29,benign
30,malicious
31,malicious
32,benign
33,benign
34,malicious
35,benign
36,malicious
37,malicious
38,benign
39,malicious
40,benign
41,malicious
42,benign
43,benign
44,benign
45,benign
46,benign
47,benign
48,benign
49,benign
50,benign
51,malicious
52,benign
53,benign
54,benign
55,benign
56,benign
57,malicious
58,malicious
59,benign
60,benign
61,malicious
62,benign
63,malicious
64,benign
65,benign
66,benign
67,malicious
68,benign
69,malicious
70,malicious
71,benign
72,malicious
73,malicious
74,benign
75,benign
76,benign
77,benign
78,malicious
79,benign
80,benign
81,malicious
82,benign
83,malicious
84,malicious
85,benign
86,benign
87,benign
88,benign
89,benign
90,malicious
91,malicious
92,benign
93,benign
94,benign
95,benign
96,malicious
97,benign
98,benign
99,benign
100,benign
101,benign
102,benign
103,benign
104,malicious
105,benign
106,benign
107,benign
108,benign
109,benign
110,malicious
111,malicious
112,benign
113,malicious
114,benign
115,benign
116,benign
117,benign
118,malicious
119,malicious
120,malicious
121,malicious
122,benign
123,malicious
124,benign
125,benign
126,malicious
127,benign
128,malicious
129,benign
130,benign
131,benign
132,benign
133,benign
134,benign
135,malicious
136,malicious
137,benign
138,benign
139,benign
140,malicious
141,malicious
142,benign
143,malicious
144,benign
145,malicious
146,malicious
147,benign
148,benign
149,benign
150,benign
151,malicious
152,benign
153,benign
154,benign
155,malicious
156,benign
157,benign
158,benign
159,malicious
160,malicious
161,benign
162,malicious
163,benign
164,malicious
165,benign
166,benign
167,benign
168,benign
169,benign
170,benign
171,benign
172,benign
173,benign
174,malicious
175,benign
176,malicious
177,malicious
178,malicious
179,benign
180,benign
181,malicious
182,benign
183,benign
184,benign
185,malicious
186,malicious
187,benign
188,malicious
189,malicious
190,malicious
191,benign
192,malicious
193,benign
194,malicious
195,malicious
196,benign
197,benign
198,malicious
199,malicious
200,benign
201,benign
202,benign
203,malicious
204,benign
205,malicious
206,benign
207,benign
208,malicious
209,benign
210,malicious
211,benign
212,benign
213,benign
214,malicious
215,benign
216,malicious
217,malicious
218,benign
219,benign
220,benign
221,benign
222,malicious
223,benign
224,benign
225,benign
226,malicious
227,malicious
228,benign
229,benign
230,benign
231,malicious
232,malicious
233,benign
234,benign
235,benign
236,malicious
237,malicious
238,malicious
239,benign
240,benign
241,malicious
242,malicious
243,benign
244,malicious
245,malicious
246,benign
247,benign
248,malicious
249,benign
250,malicious
251,benign
252,malicious
253,malicious
254,benign
255,benign
256,benign
257,benign
258,benign
259,malicious
260,malicious
261,benign
262,malicious
263,malicious
264,malicious
265,benign
266,benign
267,benign
268,malicious
269,malicious
270,benign
271,benign
272,benign
273,benign
274,malicious
275,benign
276,benign
277,benign
278,malicious
279,benign
280,benign
281,malicious
282,malicious
283,malicious
284,benign
285,malicious
286,benign
287,benign
288,benign
289,malicious
290,malicious
291,benign
292,benign
293,benign
294,malicious
295,malicious
296,malicious
297,benign
298,benign
299,malicious
300,benign
301,malicious
302,malicious
303,malicious
304,benign
305,benign
306,malicious
307,malicious
308,malicious
309,benign
310,benign
311,benign
312,benign
313,malicious
314,malicious
315,benign
316,malicious
317,malicious
318,malicious
319,malicious
320,benign
321,benign
322,benign
323,malicious
324,malicious
325,benign
326,benign
327,malicious
328,malicious
329,malicious
330,malicious
331,malicious
332,benign
333,malicious
334,malicious
335,malicious
336,malicious
337,benign
338,benign
339,benign
340,benign
341,benign
342,malicious
343,benign
344,malicious
345,malicious
346,malicious
347,malicious
348,benign
349,benign
350,malicious
351,benign
352,malicious
353,malicious
354,malicious
355,malicious
356,benign
357,benign
358,malicious
359,malicious
360,malicious
361,malicious
362,malicious
363,malicious
364,benign
365,benign
366,malicious
367,benign
368,benign
369,benign
370,malicious
371,malicious
372,malicious
373,benign
374,benign
375,malicious
376,malicious
377,benign
378,malicious
379,benign
380,benign
381,benign
382,malicious
383,malicious
384,benign
385,benign
386,benign
387,malicious
388,benign
389,malicious
390,benign
391,benign
392,benign
393,malicious
394,benign
395,benign
396,malicious
397,malicious
398,benign
399,benign
400,benign
401,benign
402,benign
403,benign
404,malicious
405,benign
406,benign
407,malicious
408,benign
409,benign
410,benign
411,malicious
412,benign
413,malicious
414,malicious
415,benign
416,benign
417,benign
418,malicious
419,benign
420,benign
421,benign
422,benign
423,benign
424,benign
425,malicious
426,malicious
427,benign
428,benign
429,benign
430,benign
431,malicious
432,benign
433,malicious
434,benign
435,benign
436,benign
437,malicious
438,benign
439,malicious
440,benign
441,benign
442,benign
443,benign
444,malicious
445,malicious
446,malicious
447,malicious
448,malicious
449,malicious
450,benign
451,benign
452,benign
453,benign
454,malicious
455,malicious
456,benign
457,benign
458,benign
459,benign
460,benign
461,benign
462,malicious
463,benign
464,benign
465,benign
466,malicious
467,benign
468,benign
469,benign
470,malicious
471,benign
472,malicious
473,malicious
474,benign
475,malicious
476,malicious
477,benign
478,malicious
479,benign
480,malicious
481,malicious
482,malicious
483,benign
484,malicious
485,benign
486,benign
487,benign
488,malicious
489,malicious
490,benign
491,benign
492,malicious
493,benign
494,benign
495,malicious
496,malicious
497,benign
498,benign
499,benign
500,malicious
501,malicious
502,benign
503,benign
504,benign
505,malicious
506,malicious
507,benign
508,benign
509,malicious
510,benign
511,malicious
512,benign
513,benign
514,benign
515,benign
516,malicious
517,benign
518,malicious
519,malicious
520,malicious
521,benign
522,benign
523,benign
524,malicious
525,malicious
526,malicious
527,malicious
528,malicious
529,benign
530,malicious
531,benign
532,benign
533,benign
534,malicious
